act,scene,char,eng,thai,isLyric,remark
1,1,ซาร่า,A long time ago,กาลครั้งหนึ่งนานมาแล้ว,FALSE,
,,ซาร่า,"there lived a beautiful princess, in a mystical land known as India.",ณ ดินแดนพิศวงนามว่า อินเดีย มีเจ้าหญิงโฉมงามอาศัยอยู่,FALSE,
,,ซาร่า,She was married to the righteous Prince Rama,เธอได้แต่งงานกับพระรามผู้เป็นตัวแทนแห่งธรรมะ,FALSE,
,,ซาร่า,who was banished to the enchanted forest,และถูกเนรเทศไปยังป่าต้องมนต์,FALSE,
,,ซาร่า,"by his envious stepmother, Queen Kaikeyi.",โดยแม่เลี้ยงขี้อิจฉา ไกเกยี,FALSE,
,,ซาร่า,"One day, Princess Sita saw a wounded deer in the woods",วันหนึ่ง เจ้าหญิงสีดาพบกวางที่บาดเจ็บอยู่ในป่า,FALSE,
,,ซาร่า,and begged Rama to help it.,และขอร้องให้พระรามช่วย,FALSE,
,,ซาร่า,Rama drew a circle on the ground and said to her,พระรามได้สร้างวงแหวนเวทบนพื้นและบอกแก่สีดาว่า,FALSE,
,,พระราม,"Do not cross the boundary, my love",ห้ามออกมาจากวงแหวนนี่เด็ดขาดนะ ที่รักของข้า,FALSE,
,,พระราม,Keep to the rule that protects you,มันจะช่วยปกป้องเจ้าจากภัยทั้งปวง,FALSE,
,,ซาร่า,"That night, the princess heard a horrible cry.",ในคืนนั้นสีดาได้ยินเสียงร้องไห้,FALSE,
,,ทศกันฐ์,Help me!,ช่วยข้าด้วย,FALSE,
,,ซาร่า,Thinking it was her beloved Rama in danger,และคิดไปว่าเสียงนั้นคือพระรามผู้เป็นที่รัก,FALSE,
,,ซาร่า,the princess ran out of the circle to answer the cry.,เธอวิ่งออกมาจากวงแหวนเพื่อไปตามเสียงร้อง,FALSE,
,,ซาร่า,She soon came across an old beggar man,ไม่นานนักเธอได้ไปเจอเข้ากับชายชราขอทานผู้หนึ่ง,FALSE,
,,ซาร่า,Although she had no money to give him,แม้ว่าเธอจะไม่มีเงินที่จะให้เขา,FALSE,
,,ซาร่า,she could not refuse his plea.,เธอก็ไม่อาจปฏิเสธคำขอของเขาได้,FALSE,
,,ซาร่า,As soon as he had the bracelet,ทันทีที่เธอยื่นกำไลข้อมือให้,FALSE,
,,ซาร่า,"he transformed into the 10-headed demon, Ravana.",เขาก็แปลงร่างเป็นยักษ์ที่มี 10 เศียร นามว่าทศกันฐ์,FALSE,
,,ซาร่า,He grabs her and takes her to his palace to make her his bride.,ทัศกันฐ์จับเธอไป และทำให้เธอกลายเป็นเจ้าสาวของเขา,FALSE,
